Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
840;0;-52.4838;-6.17909;-85.964;9.55463;3653.68;5.53886;0;0;3.53779e-42;0.01;0;3.81895;102;0;-1-1;-1
840;1;-40.1708;-33.8491;-89.7344;11.1402;5791.24;6.46083;0;0;3.53779e-42;0.01;0;4.00456;102;0;-1-1;-1
840;2;-38.6209;-16.2828;-86.4302;9.60414;3710.77;5.57142;0;0;3.53779e-42;0.01;0;5.52071;102;0;-1-1;-1
840;3;-37.1503;1.35252;-87.6142;10.0536;4256.52;5.82269;0;0;3.53779e-42;0.01;0;4.92672;102;0;-1-1;-1
840;4;-39.2383;19.9315;-91.8519;11.2634;5985.38;6.54216;0;0;3.53779e-42;0.01;0;3.39084;102;0;-1-1;-1
840;5;-23.1446;-42.5262;-97.0083;10.3906;4699.08;6.02868;0;0;3.53779e-42;0.01;0;3.42275;102;0;-1-1;-1
840;6;-23.2931;-27.1145;-87.0427;9.77158;3908.26;5.68417;0;0;3.53779e-42;0.01;0;5.90137;102;0;-1-1;-1
840;7;-23.3409;-9.09374;-87.8721;9.79435;3935.64;5.69101;0;0;3.53779e-42;0.01;0;5.07722;102;0;-1-1;-1
840;8;-22.6393;11.9928;-89.3354;9.96457;4144.42;5.78358;0;0;3.53779e-42;0.01;0;5.14081;102;0;-1-1;-1
840;9;-23.136;26.006;-100.875;10.2221;4474.19;5.92581;0;0;3.53779e-42;0.01;0;3.10614;102;0;-1-1;-1
840;10;-7.02587;-44.516;-103.876;9.25612;3321.82;5.36475;0;0;3.53779e-42;0.01;0;2.76854;102;0;-1-1;-1
840;11;-8.16934;-38.0949;-87.6631;10.4388;4764.77;6.06069;0;0;3.53779e-42;0.01;0;6.30624;102;0;-1-1;-1
840;12;-8.39618;-17.6825;-89.6722;10.0283;4224.42;5.8111;0;0;3.53779e-42;0.01;0;4.48738;102;0;-1-1;-1
840;13;-9.10879;0.697372;-95.886;11.5278;6416.94;6.69584;0;0;3.53779e-42;0.01;0;2.32573;102;0;-1-1;-1
