simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.073619	18999	274.461
40	1167	30	0	113.403	3.94495e-05	7.30081
80	1167	0	0	103.458	8.40613e-14	438.227
120	1167	0	0	103.234	1.79123e-22	3.67089
160	1167	0	0	111.187	3.81685e-31	449.416
200	1167	0	0	94.184	8.13318e-40	1.84129
240	1167	0	0	110.363	1.73307e-48	226.052
280	1167	0	0	95.2286	3.69292e-57	0.926153
320	1167	0	0	111.453	7.86909e-66	114.018
360	1167	0	0	95.2084	1.67679e-74	0.467143
400	1166	0	1	111.387	3.57301e-83	57.508
440	1166	0	0	95.4946	7.61358e-92	0.235615
480	1166	0	0	112.471	1.62235e-100	28.9259
520	1166	0	0	94.0988	3.45699e-109	0.118512
560	1166	0	0	111.035	7.36636e-118	14.5495
600	1166	0	0	95.3996	1.56967e-126	0.0596103
640	1166	0	0	111.497	3.34474e-135	7.31823
680	1166	0	0	103.296	7.12717e-144	438.123
720	1166	0	0	102.512	1.5187e-152	3.681
760	1166	0	0	111.072	3.23614e-161	449.402
800	1166	0	0	93.8522	6.89575e-170	1.8515
840	1166	0	0	108.852	1.46939e-178	227.305
880	1166	0	0	93.0952	3.13106e-187	0.931288
920	1166	0	0	109.822	6.67184e-196	114.332
960	1166	0	0	93.1301	1.42168e-204	0.468428
1000	1166	0	0	108.822	3.02939e-213	57.508
1040	1166	0	0	93.1605	6.4552e-222	0.235615
1080	1166	0	0	108.814	1.37551e-230	28.9259
1120	1166	0	0	93.1033	2.93102e-239	0.118512
1160	1166	0	0	108.848	6.2456e-248	14.5495
1200	1166	0	0	93.083	1.33085e-256	0.0596103
1240	1166	0	0	108.922	2.83585e-265	7.31823
1280	1166	0	0	100.9	6.0428e-274	438.123
1320	1166	0	0	100.943	1.28764e-282	3.681
1360	1166	0	0	109.788	2.74377e-291	449.402
1400	1166	0	0	93.157	5.84659e-300	1.8515
1440	1166	0	0	106.783	0	227.305
1440.02	1166	0	0	0.135112	0	226.681
